Age,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0-4,25518617.0,26591118.5,27738086.5,29000626.0,30144839.0,31080756.0,31973555.0,32812935.5,33583786.5,34292315.0,34986431.0,35703164.5,36437799.5,37207617.0,38022121.0,38759581.5,39379141.5,39971848.5,40617187.5,41308647.5,42027302.5,42811039.0,43622651.0,44448143.0,45325680.0,46210564.5,47074590.0,47909799.5,48674284.5,49451465.0,50364938.0,51357662.5,52384934.0,53493562.5,54637829.5,55714526.0,56743538.0,57712660.5,58552159.0,59277527.0,59877354.5,60330245.5,60700954.0,61026237.0,61280672.5,61525575.0,61767897.0,61995686.0,62240622.5,62502638.0,62827934.5,63268942.5,63706359.0,64002694.0,64143679.5,64034841.5,63609047.0,62999408.0,62392179.0,61913767.0,61543600.0,61245137.5,61010822.0,60728386.5,60144295.5,59422610.0,58867603.5,58261385.5,57658903.0,57282565.5,56846872.0,56195125.0,55628417.0,55160391.5,54737622.0,54529094.0
5-11,27811452.5,28143528.5,28585137.0,29080407.5,29854840.0,30965582.0,32191547.5,33508059.0,34911981.5,36409104.0,38003852.0,39439915.5,40637959.5,41776303.5,42850201.0,43862272.0,44827609.5,45776926.0,46737098.5,47703300.0,48664746.0,49621557.5,50582107.5,51556334.0,52528052.5,53497459.0,54512663.5,55603329.5,56766288.5,57979297.5,59174554.0,60391184.0,61636990.5,62836657.5,64051274.0,65344434.0,66693702.0,68102937.0,69558301.5,71085300.5,72685057.0,74289430.0,75780190.5,77112984.0,78358344.5,79469506.0,80413247.5,81226184.0,81879627.0,82437054.0,82972601.5,83446298.5,83892922.5,84332659.0,84776643.0,85300728.5,85935061.5,86563851.5,87063859.0,87424028.5,87613747.0,87583160.5,87303710.0,86802334.0,86261420.5,85755549.0,85258507.5,84822187.0,84419723.0,83853103.0,83184978.5,82569137.5,81848614.5,81102742.5,80360952.5,79488518.0
12-14,11296471.5,11424226.0,11463540.0,11461485.5,11487154.5,11575878.0,11723885.5,11928081.5,12184652.5,12469297.5,12732030.5,13195751.0,13936541.0,14792269.0,15530085.0,16080700.0,16627608.0,17156995.5,17642343.0,18082471.5,18488803.0,18867728.5,19247526.5,19658448.0,20103040.0,20554320.5,20986468.0,21384735.5,21752351.0,22134417.0,22569934.5,23032358.5,23484109.5,23952527.0,24466288.5,25031916.5,25611849.5,26148817.0,26666244.0,27156042.0,27635771.0,28148300.5,28760450.5,29490270.0,30222063.5,30902446.0,31570319.5,32237181.5,32897859.0,33475786.0,33942123.5,34324065.5,34631094.5,34910537.5,35145530.0,35346413.5,35538950.0,35729221.5,35927928.5,36130477.0,36328714.0,36539840.0,36821518.5,37208599.5,37588248.0,37773088.0,37705484.5,37458228.0,37122217.0,36751317.0,36443385.0,36311432.0,36265887.0,36192830.5,36038731.0,35799429.0
15-24,32282670.0,32889058.5,33531763.0,34154678.0,34714790.0,35206133.5,35642355.0,36013314.0,36377469.5,36783819.5,37220179.5,37704040.0,38194225.0,38685942.5,39468271.5,40611143.5,41897604.0,43346913.5,44917382.5,46568895.0,48372804.5,50213917.0,52080725.0,54035815.0,55840274.0,57469578.5,59060832.0,60623913.0,62113594.5,63565815.5,64991865.0,66347030.5,67702081.5,69106092.5,70539173.0,71961315.0,73403822.5,74884488.5,76420020.5,78030258.5,79690343.5,81389081.0,83098095.5,84788097.0,86501415.0,88340181.0,90279709.0,92242269.5,94232524.5,96256811.0,98330028.5,100446803.5,102507550.5,104493547.5,106455729.0,108220423.0,109806411.5,111267247.5,112525058.0,113684203.5,114800792.0,115778598.5,116648071.0,117491395.0,118278940.5,119068831.0,119980884.0,120912513.5,121671811.0,122225904.5,122639584.5,122897902.5,122876166.0,122693903.0,122481030.0,122104697.0
25-49,51484108.5,52445879.5,53484069.5,54539666.0,55599312.5,56670695.5,57740092.0,58753632.0,59778985.0,60880253.5,62001295.0,63175211.5,64380973.0,65586982.5,66755913.0,67841795.0,68853898.0,69873177.0,70878211.5,71859221.5,72997393.0,74190022.0,75414577.5,76720236.5,78315314.0,80303600.5,82431390.5,84718349.5,87112107.5,89660330.5,92361952.5,95095740.5,97897504.5,100779684.0,103727236.0,106751335.0,109850285.0,113012921.0,116271601.5,119665344.5,123196407.0,126797709.0,130491735.5,134309917.5,138142274.0,142007815.0,145989216.5,150063873.0,154251565.5,158346590.0,162234573.5,166116704.0,169915234.0,173597679.0,177363844.5,181191570.0,185108522.0,189078384.5,193048187.5,197222841.5,201591196.5,206039436.5,210494591.0,214933828.0,219380066.0,223751304.5,228133646.0,232518965.0,236731121.0,240785783.5,244853819.5,248815765.5,252517731.0,256120932.0,259744142.0,263457342.0
50+,20018746.0,20508727.5,20981287.0,21455902.5,21978291.5,22567792.0,23213761.5,23910573.5,24646401.0,25398459.0,26148792.5,26899295.0,27642835.0,28382669.0,29128369.5,29858881.5,30570258.0,31287717.5,32023320.0,32770059.5,33527759.0,34288419.5,35054710.5,35843516.0,36665794.5,37531697.0,38430402.0,39361897.5,40323145.5,41326958.5,42377784.0,43464129.5,44590872.5,45760528.5,46968903.5,48206949.5,49484802.0,50813492.5,52174074.5,53528938.0,54865709.0,56194842.0,57530374.5,58887988.0,60274836.5,61710820.5,63212722.0,64775110.5,66377690.5,68218773.0,70362036.5,72650679.5,75074158.5,77635921.0,80340620.5,83156151.5,86064910.0,89060338.5,92121986.0,95262232.0,98505428.5,101848596.0,105279122.0,108788291.5,112358111.0,115954378.5,119581079.5,123265024.5,127005130.5,130780575.0,134473588.0,137490430.5,140754940.5,144915532.5,149249886.5,153710995.5
60+,9349831.0,9533683.0,9679399.5,9814288.5,10001344.0,10259692.0,10583352.5,10973256.5,11400293.5,11819790.0,12214534.0,12584229.5,12926948.5,13263858.0,13627538.5,14014373.5,14419416.0,14859034.0,15330697.0,15809608.5,16280225.5,16743717.0,17201441.5,17663561.0,18142749.0,18644304.5,19162516.5,19696613.5,20241519.5,20795489.5,21358124.0,21927198.5,22505817.5,23098965.5,23712392.0,24350435.5,25013905.0,25703625.0,26424311.0,27182152.0,27979464.0,28812569.5,29679262.5,30576573.0,31496290.0,32432091.5,33394243.5,34391758.5,35408136.0,36411173.5,37392024.0,38367156.0,39347115.5,40344228.5,41374038.0,42445612.5,43570616.0,44747461.5,45956699.5,47389597.0,49106624.0,50958641.0,52939949.5,55049046.5,57272354.0,59580202.0,61948474.5,64364748.5,66806403.5,69261613.0,71644800.5,73439877.5,75405408.0,78068450.0,80827174.5,83674693.0
80+,667666.5,662331.5,658739.5,657900.0,661542.5,668603.5,680397.0,696976.0,712284.5,720919.5,723721.0,719740.0,710449.0,706943.0,720696.0,750626.5,794428.5,854287.0,921265.0,979020.0,1022369.5,1055217.0,1077619.5,1099081.0,1136307.0,1193077.5,1267383.5,1358943.5,1458060.5,1550848.0,1633253.5,1706135.5,1770292.5,1832803.5,1903994.0,1987574.0,2082332.5,2188772.5,2302458.5,2415938.5,2526858.5,2636521.0,2744800.5,2852887.5,2963649.0,3078154.5,3196103.5,3317904.0,3443240.5,3571102.5,3701451.5,3834245.5,3968885.0,4105214.5,4243374.0,4384062.0,4527663.0,4675709.5,4832737.5,5005181.0,5197784.5,5412800.5,5651226.0,5912149.0,6192488.0,6486958.0,6796720.0,7123007.5,7454804.0,7774154.0,8034244.0,8120840.5,8249469.5,8545252.0,8855690.5,9193587.0
90+,50957.5,47333.0,44611.5,42686.5,41416.5,40649.0,40124.5,39720.5,39501.0,39577.5,39923.0,40333.5,40742.5,41350.0,42327.0,43290.5,44504.5,46290.5,48246.5,49826.0,51002.5,51751.5,52281.0,53948.5,58225.5,65148.5,74336.0,85791.0,97879.5,108079.0,115927.5,122016.5,126271.0,130292.0,136920.0,146636.0,158970.5,173836.5,189423.5,203257.5,214959.5,225051.0,233937.0,243157.0,254782.5,269350.0,286310.5,305484.5,325602.0,344813.0,362556.5,379063.5,394251.0,408376.0,421951.0,435185.5,448178.5,461341.5,475171.0,490271.5,507520.5,527772.5,551641.5,579703.0,612549.5,650489.0,693284.0,740620.5,792487.5,848870.5,889159.5,894433.0,926398.5,1002509.0,1078658.5,1153769.0
